Report no.,Category,Title [text],Author [text],Year,Description [text],Project type [options],Targeted user [text],Findings (What conclusions were drawn from the research?) [text],Outputs (How were the findings applied?) [text],Challenges the project faced [text],What kind of budget was it? [text],Methods [options],Website / Links to videos [link],Partner/Sponsor [text],Connections [number]
11,City and community,e-scape: digital business incubators for social regeneration,Jennifer Brown,2001,This study examined the urban infrastructure and workplace needs of technology start-up companies.,Policy guidelines,companies,"Categorised business incubators into the following types: community, commerical, innovation, internet, live work. These differ in their relationships with the startup, for example internet incubators provide cheap support packages which can be provided via the internet whereas innovation incubators are larger companies which invite small start-ups into their offices to exchange business expertise for innovation.","This research contributed to Tower Hamlets regeneration strategy, in particular to proposals for the site of Poplar Baths.",,,"Observation, Desk Research",,"Gestetner in a consortium with Geoffrey Reid Associates, GMW Partnership, Jones Lang LaSalle, Peabody Trust and Roneo Office Systems",15
95,Health and wellbeing,Redesigning surgical tools: disposable primary cut instruments Cutting Edge,Maja Kecman; Lisa Storux,2007,This project details the design and devleopment of 2 new sergical tool concepts for knee surger,Physical prototypes,"surgeons, nurses","Many current tools are expensive and difficult to use, making surgery longer and therefore more dangerous for patients. Surgeons are often picky with the tools and equpment they chose to use, they often prioritise tools that make them feel comfortable and accurate, aiming to improve how effectively they can work.","Two design proposals that were iteratively taken back to surgeons and other users for development, before undergoing direct use case testing.",,,"Individual Interviews, Observation, Workshops",,De Puy
70,Health and wellbeing,Stepping stone: designing an inclusive pedometer,Barry Menmuir,2001,"This project describes the research and development of a low-cost step ocunter for use by participants, especially older people, in the Walking The Way To Health Initiative.",Physical prototypes,Older walkers,"95% of walkers did not use a pedometer and current pedometers are not attractive to customers, feeling scientific or technical.","Single design concept for a redesigned pedometer, including CAD and physical 3D printed models",,,"Individual Interviews, Observation",,British Heart Foundation
67,Health and wellbeing,Support system: empowering people with osteoarthritis,Ela Neagu; Lizzie Raby,2016,This project describes the creation of a digital 'hub' or portal for those with osteoarthritis to be able to share their experiences and advice. Later focussing on the needs of recently diagnoesd people and how they can receive encouragment and support.,Design Concepts,arthritis patients,"Current support systems and doctors don't provide the advice and information that is important for someone living out their life with these conditions. Particularly for the recently diagnosed, there isn't a positive resource or self-help guidance.","A proposal for a platform that allows people to share their experience and advice for living with arthritis. The ARUK 'Challenge' is also proposed: a social media campaign that encourages people to post and engage about their experience, and promotes ways to improve muskuloskeletal health.",,,"Individual Interviews, Workshops",,Arthritis Research UK
82,Health and wellbeing,Impact wave: developing clothing that cares and protects,Dan Plant,2000,This project developed a system of flexible body armour combining wearability with human protection.,Physical prototypes,"osteopathic patients, athletes","Currently available body impact protection is limited because it is either based upon a rigid exterior shell, which is inflexible and uncomfortable, or a foam laminate, which inhibits performance.","An Active Protection System which protects the human body from abrasions and impacts, made from a strain rate sensitive polymer which reacts to impact and a flexible outer sheath of Hytrel.","product unable to progress immediately towards entering the marketplace due to need to pass health and safety tests, expense of the mouldings and limited budget",,"Individual Interviews, Workshops",,"Levi Strauss Europe, Middle East and Africa"
96,Health and wellbeing,Foot print: a campaign for walking the way to health,Eleanor Ridsdale,2001,This study looked at ways in which communication materials such as posters and maps can encourage people at risk from heart disease to join local walking groups and exercise regularly.,Media Campaign,people at risk from heart disease,Posters should include the statement 'everyone needs 30 minutes walking 5 days a week at a moderate pace' and the location of posters important.,Posters to encourage walking instead getting the bus or a lift or escalator and maps showing a route for led and independent walks in Keighley.,,,Individual Interviews,,British Heart Foundation
74,Health and wellbeing,Healthy pregnancy: redefining the experience (woven stories),Florrie Salnot,2012,This study explored the experiences of pregnant women and implemented the research through design solutions to help women get better social support.,Physical prototypes,pregnant women,"due to change of life, risk of miscarriage, lack of medical support and intense discomforts, the first trimester of pregnancy is the most difficult for a majority of women","Woven-stories, a website which enables women to record their experiences of pregnancy and weaves them together to offer advice and information to other pregnant women",,,Desk Research,,Clearblue
25,Health and wellbeing,"Graphic Guidance, information design for patient safety",Thea Swayne,2005,This project helped to establish a benchmark in good design for the packaging of medicine.,Physical prototypes,,,A fully illustrated set of design considerations with both good and bad examples and recommendations for design of secondary packaging including dispensing label and faces of the packaging and of primary packaging specifically a blister strip.,,,"Observation, Focus Groups, Desk Research",,National Patient Safety Agency
22,Health and wellbeing,Design for Dementia: improving the care home environment for people with dementia,Gregor Timlin; Nic Rysenbry,2010,This project explores how better product and environmental design can improve quality of life for carehome patients with dementia.,Design Concepts,carehome designers,Cognitive ability is improved by promoting the use of familiar and recognisable surroundings and activities that respond to resigents' deepest and earliest memories. Social ability is addressed through the design of artefacts and aqmenities that create opportunities for residents and staff to interact more easily in activities of daily living. Physical ability is promoted through design which unobtrusively compensates for disabilities such as mobility and vision which are prevalent among care home residents.,Recommendations for the layout of dining areas and bedrooms and design ideas including a range of tableware.,had to create research methods which were sensitive to the needs of and respectful towards people with dementia,,"Individual Interviews, Observation, Mockups and Rapid Prototyping, Desk Research",,BUPA
163,Health and wellbeing,web-based platform to allow surgeons to go through pre-oparative processes,Hawys Tomos,2014,Investigate the wider surgical landscape and attiudes of surgeons focusing on surgical process to achieve better patient outcomes. improve geometry of knee replacement - make things 'tailored' to both the surgeon and the patient,Design Concepts,,"Patient specific operations are ideal (knee geometry), but infeasable due to cost.","Concepts such as a tablet app platform to allow surgeons to input their limits and visualise surgical processes, as well as a long-leg assesment tool and a jig designed to aid tibial resection.",,,"Individual Interviews, Observation, Workshops",,DePuySynthes Joint Reconstruction
45,Health and wellbeing,Circles of Care,Indri Tulusan,2004,This project investigates the different strategies and experiences of users building their own social networks of health and proposes a complimentary healthcare model or landscape where user strategies and experiences can be supported.,Conceptual framework,"network providers, retailers and medical product companies, voluntary sector organisations, the NHS",People create their own self-care strategies and increasingly rely on personal support networks before or after going to the doctor. People have circles of care but are often not aware of them.,"A map of the space inbetween self help and expert medical help which shows how we build, adapt, share and pass on our personal health network with key life stages mapped against health needs and opportunities for developing social networks to address them supported by scenarios suggesting new service opportunities linking private, public and voluntary sector organisations in new partnerships.",,,"Individual Interviews, Workshops, Scenarios, Desk Research",,Orange and Pearson Matthews
117,Work and workplace,Kinder: quality time at the work-station,Pascal Anson,2001,This project examines the implications of working for long periods at a desk with a Personal Computer on it.,Design Concepts,,"The following key questions from the office workers emerged: Should I be sitting like this? Can I work and eat properly at the same time? Is my stuff safe? Take a break or carry on tired? Where is the nature, all I see is plastic?","Mini' series of office furniture including mini table, mini garden, mini bed.",,,Observation,,Kinnarps
205,Work and workplace,Family rituals: keeping mobile workers connected,Jo-Anne Bichard; David Chatting,2015,This project investigates the ritual activities that families engage in during periods of remote working and speculates on the potential roles of technology in mediating complex working family lives.,Physical prototypes,remote workers,Organisations did not consider the needs of mobile workers beyond what was required to perform their jobs. The activity most important to most families was eating and drinking including shopping for food and preparation. Families with younger children had rituals associated with their children like bedtime stories. Ability to connect is often limited by time. Relationships found to be maintainable in some ways at a distance through digital technology.,"Ritual Machine 1, a beer bottle opener connected to the internet which when used in any location pours a glass of wine at home. Ritual Machine 2, a flip-dot display connected to an iPhone app via which users can connect with the display. Ritual Machine 3, a robot vacuum cleaner which vacuums in response to the movements of the absent family member. Ritual Machine 4, a jam jar which can be spoken into a replays messages to the absent family member. Ritual Machine 5, an electronic telescope that can be pointed in any direction and shows an illustrated depiction of part of the world and another device which the absent family member can take with them to leave a marker at the correct place in the illustrated world.","to recruit mobile workers and their families forced to use a lot of different approaches to generate interest, design ethnographies challenging as families reluctant to allow additional investigation to interrupt private family time",,"Individual Interviews, Focus Groups",,"Newcastle University, University of West of England, Bournemouth University"
206,Work and workplace,Work well: Inclusive furniture for older office workers,Jeremy Gay,2005,This project found and illustrated areas of opportunity in the design of work furniture for older users and developed inclusive new concepts as exemplars that address the specific needs and desires of an ageing workforce.,Design Concepts,older workers,"Older workers often feel unable to change aspects of their immediate environment that are important to them, are made victims of simple usability problems, fail to use work furniture properly and maintain good work habits, are more likely to hot desk, often work outside the office in places with inadequate facilities, are adopting more mobile working habits that can have adverse consquences on their health and well-being, are interested in health issues and open to innovation in this area, are hindered in the adoption of more healthy working habits by lack of provision of amenities, see sharing knowledge as one of the key ways to connect with people in the workplace.","CASTRO, a meeting table for up to five people that allows greater control over the immediate environment. AQUA, a translucent screen system for acoustic and visual control in open plan work settings. STRETCH, a series of stacking chairs that visually prompt more active working habits. NEMES, an under-desk pedestal for user customisation in hot-desking settings. HEMET, a furniture unit which supports offers working facilities for public spaces. MOTORO, a micro workstation and travel case. PRESENCE, a device for use with any task chair providing proactive healthcare information at work through simple user sensing abilities. ASAS, a circular, modular seating system for adding a multi-functional amenity area to space-restricted workplaces. PLATO, a multi-functional concept for temporary learning and teamwork settings.",,,"Individual Interviews, Observation",,Kinnarps
168,Work and workplace,Space for thought: designing for knowledge workers,Catherine Greene,2009,This study explores the ways in which workspaces can be designed to support knowledge workers.,Design Concepts,knowledge workers,"Knowledge workers desire comfort, an adaptable desk, lack of distractions, flexible project furniture, a welcoming environment, control over environment and alternative workspaces.","AcousticWorks (a mobile acoustic screen), Adaptable Table (a table divider that can be raised up to provide a whiteboard), GardenWorks (a modular screen to provide a visual barriar), Flexible Project Furniture, Suspended Room (suspended curtains), Luxury Hot-desking, Digital Portal (a facility for making video conferencing calls), Kitchen as Meeting Room, Digital Messageboard (a means of communicating to one's desk your current location and when you will return)",,,"Individual Interviews, Observation, Workshops, Mapping, Desk Research",,Bene
153,Work and workplace,Places please: a temporary environment to enhance team working,Greg Epps,2003,This project resulted in the development of a component based system capable of temporarily transforming space to enhance the collaborative experience and enable organisations to innovate more effectively.,Design Concepts,companies,,"Developed a strategy for the documentation of team behaviour in the workplace, a system of architectural components, including a 'portal', 'props trolly' and 'tablet', and a new set of scenarios which illustrated a transformed and heightened team experience.",,,"Observation, Scenarios, Role Playing, Desk Research",,Steelcase and IDEO
169,Work and workplace,Home-Work: rethinking home office furniture,Peter Fullagar; Dan Jones,2004,This project examined home office furniture from the user's perspective and developed a range of home office furniture in response to this.,Design Concepts,home workers,"Classified the needs of home workers into physical, psychological and social and existing home office furniture into single boundary, dual boundary crossover and fully integrated solutions and discovered that none of the commerically available furniture types fit within the fully integrated solution.","The Envelope Desk, a desk with two levels with a wood finish on the outside to integrate the desk into the home and a plain inside surface and strip light to simulate an office environment.",,,"Individual Interviews, Observation, Desk Research",,Dams International
128,Work and workplace,Capture it: a future workplace for the multi-generational knowledge worker,Harriet Harriss; Suzi Winstanley,2005,This project explored what is meant by 'knowledge' in the context of the multi-generational workplace and proposed possible designs for workplaces that respond to the likely nature of the future workforce.,Business model,older workers,"Older workers demand more choice and control over how they work, are increasingly curious and committed to learning, require space and time for reflection, look to multi-sensory work environments especially green spaces to support their work, increasingly recognise a fundamental relationship between tactile materials and cognitive abilities, want access to new technology, have a need for triggers in the environment to facilitate narrative and memory and crave connection to people of all ages.","SHARE, a team space for sharing knowledge between people of diverse ages. TRADE, an oral database of generations of knowledge. FOCUS, a marketplace to trade knowledge between organisations. REFLECT, a series of screens for focusing on individual work. CONNECT, a digital network to link the knowledge of a diverse workforce.",,,"Mockups and Rapid Prototyping, Mapping, Desk Research",,"DEGW, IDEO and Steelcase"
207,Work and workplace,Flexible workers/fluid workscape: supporting work-life balance,Ian Johnston,2000,This study examines the behaviour and characteristics of an increasingly mobile group of senior office workers.,Design Concepts,office workers,Flexible work patterns are leading to an extension of the working week and to the traditional boundaries between work and leisure breaking down with people working in places traditionally associated with leisure such as pubs and cafes.,"Product ideas including skateboard briefcase, work bags, work suits, pen/clock, interactive diary.",,,"Individual Interviews, Observation",,Samas Systems Furniture
35,Work and workplace,Off the wall: organising the transferable workplace,Arash Kaynama,2001,This study sought to design new office products to support the shift towards taking work and office products home.,Physical prototypes,"students, teachers, home workers","Divided working personality traits into organised, individual, particular, flexible and mobile, each of which would benefit from a different sort of product.","The shaker office (hook system to hold files etc), tetris office (storage system of interlocking shapes), missing office (pegboard system), magnetic office (work tools that are magnetic and glow in the dark), moving office (transforming briefcase).",,,"Individual Interviews, Observation, Personas",https://www.moma.org/calendar/exhibitions/168 https://workathomesuccess.com http://www.flexibility.co.uk/index.htm http://www.atyouroffice.com,Esselte
208,Work and workplace,Shared space: enhancing social dynamics in office building,Kirsteen Mackay,2000,"This study examines new architectural strategies to enhance social dynamics in office buildings, with a focus on the manipulation of various shared spaces with the potential to enhance social dynamics.",Design guidelines,office workers,"Identified four 'communities of scale' which illustrate different types of social dynamic in different building and organisational types: Magnet (national industry sector), Matrix (global organisation), Mentor (within a group), Mutual (across rank). The ways in which shared spaces can be manipulated to enhance social dynamics include introduction of a social core in office buildings, in-house business incubators, foyers and cellular offices for use by anyone.","Guidance for how to introduce changes to the design of offices including introducing a research phase into the initial building process, opening and maintaining a conversation with those who will be using the space and paying attention to work methodology and environment.",,,"Individual Interviews, Desk Research",,Jones Lang Lasalle
73,Work and workplace,Office-less office: paper-like displays for home working,Eddie Mundy,2001,"This project envisioned uses for paper-like electronic display technologies in a range of social contexts, developing a series of design artefacts to communicate potential and identify user applications.",Physical prototypes,home workers,The practical nature of the work and its emphasis on things happening outside the home hinder attempts by those working from home to use technology.,"Confidential catalgoue for HP Labs which explores new product applications, design proposals for home workers of digital work pads and tools which are similar to pen and pape. A focused design research study simulating new tools for home workers shown at the RCA in 2001.","the technologies were still under development during the testing phase so the user group were not able to try the products, only to 'experience' them through explanations of their functions and 'walking through' scenarios for use",,"Individual Interviews, Observation, Scenarios",,Hewlett Packard
155,Work and workplace,Workplace and wellbeing: what aspects of workplace design are most important to people’s wellbeing,Jeremy Myerson; Gail Ramster; Andrew Thomson,2016,This study explored which aspects of workplace design are perceived by employees to be important to wellbeing and whether giving greater participation in the design of the workplace environment increases the sense of control and welllbeing of people at work.,Business model,office workers,"There is constant change in the workplace with the majority of changes being perceived by users to be for the benefit of the organisation at their expense and without taking their functional and psychological needs into account. Wellbeing supported by connection to outside, variety of spaces, control over space, particiption in design process.","A conceptual model to chart and assess wellbeing needs in the workplace with two axes of need (functional to psychological, organisation to individual).",,,"Individual Interviews, Observation, Mapping, Desk Research",,Also a book,195
109,Work and workplace,Workplace and wellbeing: developing a practical framework for workplace design to affect employee wellbeing,Jeremy Myerson; Catherine Greene; Imogen Privett; Gail Ramster; Andrew Thomson,2017,This study resulted in the development of a practical tool to help companies use workplace design to affect and improve employees wellbeing.,Business model,office workers,Those engaged in the Participatory Design Project registered a higher increase in their mental wellbeing than the team not invited to participate and the solutions given were those that gave them greater control over and ownership of their workspace.,An evaluation toolkit which uses information from the workers to create an overall picture of how well the organisation is meeting their psychological and functional needs which employees can use to generate ideas for making improvements in the workplace to support their wellbeing.,,,"Workshops, Co-Design",,"Gensler, Bupa, Kinnarps, Milliken and Shell",194
122,Work and workplace,Head space: privacy in open plan offices,Tim Parsons,2001,This study explored ways to provide open-plan office workers with increased levels of privacy through the design of objects used on and around the desk.,Physical prototypes,open-plan office workers,Solutions which involve the use of recognisable objects and those which invite participation and creative use are most successful.,"Umbrella chair, desk post box, 'no door' mat, phone tone recognition system using light, washing line screen, phone and e-mail hut, work in progress rack.",,,"Observation, Mapping, Desk Research",,Steelcase and IDEO
130,Work and workplace,Living Stages: what can workplaces learn from theatre design,Imogen Privett,2012,"This study examines the potential of theatrical effects, specifically lighting, tanslucency and colour, to enhance the performance of work tasks in an open-plan office environment.",Design guidelines,office workers,,"Created a vocabulary of elements (vista, levels, colour, screens, projection and effects, light and shadow) inspired by stage design to provide a new framework for office designers and the clients to think about the psychological wellbeing of the workforce as well as their physical comfort.",,,"Individual Interviews, Observation, Desk Research",,Haworth
